#id      posx      posy    estado
398         7        48         1
399         7        49         1
400         8         0         1
401         8         1         1
402         8         2         1
403         8         3         1
404         8         4         1
405         8         5         1
406         8         6         1
407         8         7         1
408         8         8         1
409         8         9         1
410         8        10         1
411         8        11         0
412         8        12         0
413         8        13         0
414         8        14         0
415         8        15         0
416         8        16         0
417         8        17         0
418         8        18         0
419         8        19         0
420         8        20         0
421         8        21         0
422         8        22         1
423         8        23         1
424         8        24         1
425         8        25         1
426         8        26         1
427         8        27         1
428         8        28         1
429         8        29         1
430         8        30         1
431         8        31         1
432         8        32         1
433         8        33         1
434         8        34         1
435         8        35         1
436         8        36         1
437         8        37         1
438         8        38         1
439         8        39         1
440         8        40         1
441         8        41         1
442         8        42         1
443         8        43         1
444         8        44         1
445         8        45         1
446         8        46         1
447         8        47         1
448         8        48         1
449         8        49         1
450         9         0         1
451         9         1         1
452         9         2         1
453         9         3         1
454         9         4         1
455         9         5         1
456         9         6         1
457         9         7         1
458         9         8         1
459         9         9         1
460         9        10         1
461         9        11         0
462         9        12         0
463         9        13         0
464         9        14         0
465         9        15         0
466         9        16         0
467         9        17         0
468         9        18         0
469         9        19         0
470         9        20         0
471         9        21         0
472         9        22         1
473         9        23         1
474         9        24         1
475         9        25         1
476         9        26         1
477         9        27         1
478         9        28         1
479         9        29         1
480         9        30         1
481         9        31         1
482         9        32         1
483         9        33         1
484         9        34         1
485         9        35         1
486         9        36         1
487         9        37         1
488         9        38         1
489         9        39         1
490         9        40         1
491         9        41         1
492         9        42         1
493         9        43         1
494         9        44         1
495         9        45         1
496         9        46         1
497         9        47         1
498         9        48         1
499         9        49         1
500        10         0         1
501        10         1         1
502        10         2         1
503        10         3         1
504        10         4         1
505        10         5         1
506        10         6         1
507        10         7         1
508        10         8         1
509        10         9         1
510        10        10         0
511        10        11         0
512        10        12         0
513        10        13         0
514        10        14         0
515        10        15         0
516        10        16         0
517        10        17         0
518        10        18         0
519        10        19         0
520        10        20         1
521        10        21         1
522        10        22         0
523        10        23         1
524        10        24         1
525        10        25         1
526        10        26         1
527        10        27         1
528        10        28         1
529        10        29         1
530        10        30         1
531        10        31         1
532        10        32         1
533        10        33         1
534        10        34         1
535        10        35         1
536        10        36         1
537        10        37         1
538        10        38         1
539        10        39         1
540        10        40         1
541        10        41         1
542        10        42         1
543        10        43         1
544        10        44         1
545        10        45         1
546        10        46         1
547        10        47         1
548        10        48         1
549        10        49         1
550        11         0         1
551        11         1         1
552        11         2         1
553        11         3         1
554        11         4         1
555        11         5         1
556        11         6         1
557        11         7         1
558        11         8         1
559        11         9         1
560        11        10         1
561        11        11         1
562        11        12         0
563        11        13         0
564        11        14         0
565        11        15         0
566        11        16         0
567        11        17         0
568        11        18         0
569        11        19         0
570        11        20         0
571        11        21         0
572        11        22         0
573        11        23         0
574        11        24         1
575        11        25         1
576        11        26         1
577        11        27         1
578        11        28         1
579        11        29         1
580        11        30         1
581        11        31         1
582        11        32         1
583        11        33         1
584        11        34         1
585        11        35         1
586        11        36         1
587        11        37         1
588        11        38         1
589        11        39         1
590        11        40         1
591        11        41         1
592        11        42         1
593        11        43         1
594        11        44         1
595        11        45         1
596        11        46         1
597        11        47         1
598        11        48         1
599        11        49         1
600        12         0         1
601        12         1         1
602        12         2         1
603        12         3         1
604        12         4         1
605        12         5         1
606        12         6         1
607        12         7         1
608        12         8         1
609        12         9         1
610        12        10         1
611        12        11         1
612        12        12         0
613        12        13         0
614        12        14         0
615        12        15         0
616        12        16         0
617        12        17         0
618        12        18         1
619        12        19         0
620        12        20         0
621        12        21         0
622        12        22         0
623        12        23         0
624        12        24         0
625        12        25         1
626        12        26         1
627        12        27         1
628        12        28         1
629        12        29         1
630        12        30         1
631        12        31         1
632        12        32         1
633        12        33         1
634        12        34         1
635        12        35         1
636        12        36         1
637        12        37         1
638        12        38         1
639        12        39         1
640        12        40         1
641        12        41         1
642        12        42         1
643        12        43         1
644        12        44         1
645        12        45         1
646        12        46         1
647        12        47         1
648        12        48         1
649        12        49         1
650        13         0         1
651        13         1         1
652        13         2         1
653        13         3         1
654        13         4         1
655        13         5         1
656        13         6         1
657        13         7         1
658        13         8         1
659        13         9         1
660        13        10         1
661        13        11         0
662        13        12         0
663        13        13         0
664        13        14         0
665        13        15         0
666        13        16         0
667        13        17         0
668        13        18         0
669        13        19         0
670        13        20         0
671        13        21         0
672        13        22         0
673        13        23         0
674        13        24         0
675        13        25         1
676        13        26         1
677        13        27         1
678        13        28         1
679        13        29         1
680        13        30         1
681        13        31         1
682        13        32         1
683        13        33         1
684        13        34         1
685        13        35         1
686        13        36         1
687        13        37         1
688        13        38         1
689        13        39         1
690        13        40         1
691        13        41         1
692        13        42         1
693        13        43         1
694        13        44         1
695        13        45         1
696        13        46         1
697        13        47         1
698        13        48         1
699        13        49         1
700        14         0         1
701        14         1         1
702        14         2         1
703        14         3         1
704        14         4         1
