#p              s
0              1
0.01           1.06
0.02           1.06
0.03           1.14
0.04           1.22
0.05            1.1
0.06           1.28
0.07           1.32
0.08           1.36
0.09           1.62
0.1            1.6
0.11           1.88
0.12           2.46
0.13           1.92
0.14            1.8
0.15            1.8
0.16           2.06
0.17           2.48
0.18            2.2
0.19            2.2
0.2            3.1
0.21           3.18
0.22           3.64
0.23           3.08
0.24            3.5
0.25            3.9
0.26           3.62
0.27           5.44
0.28           4.78
0.29           5.68
0.3           6.26
0.31           8.62
0.32            8.1
0.33            9.2
0.34           10.2
0.35           8.76
0.36          14.76
0.37          13.86
0.38          29.34
0.39          18.86
0.4          34.46
0.41          45.42
0.42          53.86
0.43          71.16
0.44         105.92
0.45          95.54
0.46          268.1
0.47         382.64
0.48         807.62
0.49        1501.44
0.5        2174.66
0.51        4125.46
0.52        5711.06
0.53        6734.02
0.54        6828.88
0.55         7955.2
0.56        8085.64
0.57         8099.5
0.58           8960
0.59         8735.5
0.6        9370.62
0.61        9103.28
0.62        9174.22
0.63        9413.48
0.64        9666.82
0.65        9714.94
0.66        9554.06
0.67         9783.7
0.68        9818.02
0.69        9646.14
0.7        9864.54
0.71        9686.56
0.72         9901.1
0.73        9913.94
0.74        9927.32
0.75        9741.22
0.76        9950.02
0.77        9957.32
0.78        9964.66
0.79        9971.96
0.8        9777.22
0.81        9981.02
0.82        9985.62
0.83        9988.18
0.84         9990.8
0.85        9992.56
0.86        9994.76
0.87        9995.86
0.88        9997.06
0.89           9998
0.9         9998.6
0.91        9998.98
0.92         9999.4
0.93        9999.66
0.94         9999.8
0.95        9999.88
0.96          10000
0.97          10000
0.98          10000
0.99          10000
