#t           SANO     QUEMANDOSE        QUEMADO
0         999999              1              0
1         999998              1              1
2         999996              2              2
3         999992              4              4
4         999990              2              8
5         999987              3             10
6         999983              4             13
7         999981              2             17
8         999977              4             19
9         999973              4             23
10         999971              2             27
11         999970              1             29
12         999968              2             30
13         999965              3             32
14         999960              5             35
15         999955              5             40
16         999948              7             45
17         999943              5             52
18         999940              3             57
19         999936              4             60
20         999930              6             64
21         999922              8             70
22         999913              9             78
23         999904              9             87
24         999895              9             96
25         999889              6            105
26         999884              5            111
27         999875              9            116
28         999866              9            125
29         999858              8            134
30         999853              5            142
31         999848              5            147
32         999843              5            152
33         999838              5            157
34         999834              4            162
35         999833              1            166
36         999833              0            167
