#t           SANO     QUEMANDOSE        QUEMADO
0         999999              1              0
1         999998              1              1
2         999995              3              2
3         999991              4              5
4         999988              3              9
5         999985              3             12
6         999983              2             15
7         999980              3             17
8         999976              4             20
9         999970              6             24
10         999965              5             30
11         999961              4             35
12         999956              5             39
13         999953              3             44
14         999951              2             47
15         999949              2             49
16         999947              2             51
17         999945              2             53
18         999941              4             55
19         999936              5             59
20         999933              3             64
21         999929              4             67
22         999926              3             71
23         999923              3             74
24         999919              4             77
25         999915              4             81
26         999907              8             85
27         999901              6             93
28         999897              4             99
29         999892              5            103
30         999885              7            108
31         999878              7            115
32         999872              6            122
33         999867              5            128
34         999859              8            133
35         999851              8            141
36         999848              3            149
37         999847              1            152
38         999846              1            153
39         999844              2            154
40         999843              1            156
41         999843              0            157
