#t           SANO     QUEMANDOSE        QUEMADO
0         999999              1              0
1         999995              4              1
2         999989              6              5
3         999982              7             11
4         999973              9             18
5         999966              7             27
6         999959              7             34
7         999952              7             41
8         999946              6             48
9         999934             12             54
10         999924             10             66
11         999913             11             76
12         999901             12             87
13         999890             11             99
14         999882              8            110
15         999874              8            118
16         999862             12            126
17         999850             12            138
18         999837             13            150
19         999820             17            163
20         999799             21            180
21         999779             20            201
22         999755             24            221
23         999730             25            245
24         999706             24            270
25         999676             30            294
26         999642             34            324
27         999610             32            358
28         999579             31            390
29         999544             35            421
30         999509             35            456
31         999469             40            491
32         999430             39            531
33         999393             37            570
34         999349             44            607
35         999297             52            651
36         999248             49            703
37         999202             46            752
38         999160             42            798
39         999112             48            840
40         999062             50            888
41         999015             47            938
42         998966             49            985
43         998910             56           1034
44         998852             58           1090
45         998789             63           1148
46         998733             56           1211
47         998677             56           1267
48         998626             51           1323
49         998576             50           1374
50         998515             61           1424
51         998447             68           1485
52         998385             62           1553
53         998325             60           1615
54         998266             59           1675
55         998207             59           1734
56         998148             59           1793
57         998091             57           1852
58         998029             62           1909
59         997968             61           1971
60         997915             53           2032
61         997861             54           2085
62         997815             46           2139
63         997785             30           2185
64         997750             35           2215
65         997709             41           2250
66         997660             49           2291
67         997607             53           2340
68         997556             51           2393
69         997506             50           2444
70         997449             57           2494
71         997393             56           2551
72         997339             54           2607
73         997286             53           2661
74         997229             57           2714
75         997164             65           2771
76         997113             51           2836
77         997072             41           2887
78         997033             39           2928
79         996993             40           2967
80         996951             42           3007
81         996914             37           3049
82         996876             38           3086
83         996831             45           3124
84         996784             47           3169
85         996744             40           3216
86         996699             45           3256
87         996651             48           3301
88         996610             41           3349
89         996574             36           3390
90         996533             41           3426
91         996490             43           3467
92         996443             47           3510
93         996390             53           3557
94         996339             51           3610
95         996290             49           3661
96         996238             52           3710
97         996189             49           3762
98         996145             44           3811
99         996098             47           3855
100         996048             50           3902
101         995992             56           3952
102         995941             51           4008
103         995898             43           4059
104         995859             39           4102
105         995807             52           4141
106         995759             48           4193
107         995720             39           4241
108         995679             41           4280
109         995629             50           4321
110         995575             54           4371
111         995521             54           4425
112         995467             54           4479
113         995418             49           4533
114         995366             52           4582
115         995313             53           4634
116         995267             46           4687
117         995219             48           4733
118         995171             48           4781
119         995117             54           4829
120         995058             59           4883
121         994995             63           4942
122         994925             70           5005
123         994854             71           5075
124         994782             72           5146
125         994722             60           5218
126         994656             66           5278
127         994588             68           5344
128         994525             63           5412
129         994457             68           5475
130         994388             69           5543
131         994311             77           5612
132         994237             74           5689
133         994168             69           5763
134         994094             74           5832
135         994017             77           5906
