#t           SANO     QUEMANDOSE        QUEMADO
0         999999              1              0
1         999997              2              1
2         999994              3              3
3         999991              3              6
4         999987              4              9
5         999981              6             13
6         999973              8             19
7         999963             10             27
8         999949             14             37
9         999934             15             51
10         999921             13             66
11         999904             17             79
12         999886             18             96
13         999867             19            114
14         999846             21            133
15         999820             26            154
16         999790             30            180
17         999765             25            210
18         999737             28            235
19         999712             25            263
20         999685             27            288
21         999653             32            315
22         999627             26            347
23         999597             30            373
24         999567             30            403
25         999537             30            433
26         999509             28            463
27         999478             31            491
28         999446             32            522
29         999409             37            554
30         999368             41            591
31         999324             44            632
32         999276             48            676
33         999231             45            724
34         999181             50            769
35         999129             52            819
36         999072             57            871
37         999009             63            928
38         998945             64            991
39         998878             67           1055
40         998802             76           1122
41         998727             75           1198
42         998655             72           1273
43         998598             57           1345
44         998541             57           1402
45         998488             53           1459
46         998428             60           1512
47         998367             61           1572
48         998291             76           1633
49         998213             78           1709
50         998139             74           1787
51         998061             78           1861
52         997983             78           1939
53         997895             88           2017
54         997807             88           2105
55         997719             88           2193
56         997629             90           2281
57         997535             94           2371
58         997427            108           2465
59         997327            100           2573
60         997239             88           2673
61         997152             87           2761
62         997063             89           2848
63         996964             99           2937
64         996859            105           3036
65         996743            116           3141
66         996598            145           3257
67         996455            143           3402
68         996311            144           3545
69         996157            154           3689
70         996013            144           3843
71         995865            148           3987
72         995714            151           4135
73         995559            155           4286
74         995405            154           4441
75         995243            162           4595
76         995086            157           4757
77         994937            149           4914
78         994796            141           5063
79         994660            136           5204
80         994528            132           5340
81         994398            130           5472
82         994260            138           5602
83         994124            136           5740
84         993980            144           5876
85         993837            143           6020
86         993697            140           6163
87         993545            152           6303
88         993393            152           6455
89         993241            152           6607
90         993102            139           6759
91         992967            135           6898
92         992828            139           7033
93         992685            143           7172
94         992531            154           7315
95         992373            158           7469
96         992225            148           7627
97         992076            149           7775
98         991922            154           7924
99         991763            159           8078
100         991591            172           8237
101         991437            154           8409
102         991284            153           8563
103         991120            164           8716
104         990962            158           8880
105         990805            157           9038
106         990627            178           9195
107         990454            173           9373
108         990281            173           9546
109         990098            183           9719
110         989916            182           9902
111         989726            190          10084
112         989532            194          10274
113         989341            191          10468
114         989157            184          10659
115         988958            199          10843
116         988754            204          11042
117         988560            194          11246
118         988378            182          11440
119         988186            192          11622
120         987984            202          11814
121         987783            201          12016
122         987595            188          12217
123         987409            186          12405
124         987207            202          12591
125         986997            210          12793
126         986797            200          13003
127         986586            211          13203
