#t           SANO     QUEMANDOSE        QUEMADO
0         999999              1              0
1         999998              1              1
2         999996              2              2
3         999993              3              4
4         999990              3              7
5         999985              5             10
6         999976              9             15
7         999964             12             24
8         999952             12             36
9         999938             14             48
10         999923             15             62
11         999904             19             77
12         999886             18             96
13         999866             20            114
14         999844             22            134
15         999817             27            156
16         999787             30            183
17         999756             31            213
18         999718             38            244
19         999675             43            282
20         999623             52            325
21         999576             47            377
22         999529             47            424
23         999485             44            471
24         999447             38            515
25         999407             40            553
26         999374             33            593
27         999341             33            626
28         999303             38            659
29         999259             44            697
30         999205             54            741
31         999153             52            795
32         999103             50            847
33         999046             57            897
34         998980             66            954
35         998912             68           1020
36         998840             72           1088
37         998775             65           1160
38         998708             67           1225
39         998633             75           1292
40         998571             62           1367
41         998505             66           1429
42         998435             70           1495
43         998370             65           1565
44         998314             56           1630
45         998263             51           1686
46         998214             49           1737
47         998162             52           1786
48         998100             62           1838
49         998038             62           1900
50         997977             61           1962
51         997916             61           2023
52         997855             61           2084
53         997781             74           2145
54         997708             73           2219
55         997634             74           2292
56         997563             71           2366
57         997490             73           2437
58         997418             72           2510
59         997345             73           2582
60         997266             79           2655
61         997184             82           2734
62         997098             86           2816
63         997013             85           2902
64         996929             84           2987
65         996838             91           3071
66         996745             93           3162
67         996638            107           3255
68         996534            104           3362
69         996433            101           3466
70         996328            105           3567
71         996213            115           3672
72         996100            113           3787
73         995989            111           3900
74         995876            113           4011
75         995760            116           4124
76         995650            110           4240
77         995524            126           4350
78         995392            132           4476
79         995258            134           4608
80         995113            145           4742
81         994972            141           4887
82         994831            141           5028
83         994676            155           5169
84         994538            138           5324
85         994411            127           5462
86         994269            142           5589
87         994126            143           5731
88         994001            125           5874
89         993881            120           5999
90         993761            120           6119
91         993632            129           6239
92         993475            157           6368
93         993309            166           6525
94         993138            171           6691
95         992951            187           6862
96         992769            182           7049
97         992589            180           7231
98         992408            181           7411
99         992232            176           7592
100         992047            185           7768
101         991867            180           7953
102         991681            186           8133
103         991493            188           8319
104         991298            195           8507
105         991104            194           8702
106         990912            192           8896
107         990724            188           9088
108         990537            187           9276
109         990350            187           9463
110         990159            191           9650
111         989978            181           9841
112         989788            190          10022
113         989596            192          10212
114         989385            211          10404
115         989172            213          10615
116         988944            228          10828
117         988707            237          11056
118         988461            246          11293
119         988224            237          11539
120         988000            224          11776
121         987786            214          12000
122         987571            215          12214
123         987348            223          12429
124         987120            228          12652
125         986896            224          12880
126         986683            213          13104
127         986462            221          13317
128         986242            220          13538
129         986019            223          13758
130         985782            237          13981
131         985533            249          14218
132         985271            262          14467
133         985014            257          14729
134         984771            243          14986
135         984517            254          15229
136         984269            248          15483
137         984023            246          15731
