#t           SANO     QUEMANDOSE        QUEMADO
132         997551             21           2428
133         997529             22           2449
134         997505             24           2471
135         997486             19           2495
136         997466             20           2514
137         997447             19           2534
138         997425             22           2553
139         997399             26           2575
140         997378             21           2601
141         997350             28           2622
142         997319             31           2650
143         997290             29           2681
144         997265             25           2710
145         997236             29           2735
146         997217             19           2764
147         997195             22           2783
148         997171             24           2805
149         997148             23           2829
150         997124             24           2852
151         997099             25           2876
152         997079             20           2901
153         997062             17           2921
154         997049             13           2938
155         997031             18           2951
156         997016             15           2969
157         997003             13           2984
158         996987             16           2997
159         996962             25           3013
160         996931             31           3038
161         996898             33           3069
162         996864             34           3102
163         996829             35           3136
164         996806             23           3171
165         996787             19           3194
166         996763             24           3213
167         996739             24           3237
168         996721             18           3261
169         996700             21           3279
170         996676             24           3300
171         996657             19           3324
172         996639             18           3343
173         996617             22           3361
174         996598             19           3383
175         996580             18           3402
176         996564             16           3420
177         996546             18           3436
178         996528             18           3454
179         996506             22           3472
180         996488             18           3494
181         996475             13           3512
182         996465             10           3525
183         996456              9           3535
184         996449              7           3544
185         996442              7           3551
186         996434              8           3558
187         996429              5           3566
188         996424              5           3571
189         996420              4           3576
190         996415              5           3580
191         996410              5           3585
192         996403              7           3590
193         996399              4           3597
194         996396              3           3601
195         996393              3           3604
196         996390              3           3607
197         996385              5           3610
198         996378              7           3615
199         996371              7           3622
200         996366              5           3629
201         996359              7           3634
202         996353              6           3641
203         996345              8           3647
204         996333             12           3655
205         996323             10           3667
206         996317              6           3677
207         996312              5           3683
208         996307              5           3688
209         996300              7           3693
210         996293              7           3700
211         996285              8           3707
212         996275             10           3715
213         996262             13           3725
214         996248             14           3738
215         996238             10           3752
216         996229              9           3762
217         996221              8           3771
218         996211             10           3779
219         996203              8           3789
220         996198              5           3797
221         996192              6           3802
222         996185              7           3808
223         996176              9           3815
224         996168              8           3824
225         996158             10           3832
226         996145             13           3842
227         996135             10           3855
228         996124             11           3865
229         996110             14           3876
230         996100             10           3890
231         996088             12           3900
232         996079              9           3912
233         996072              7           3921
234         996061             11           3928
235         996053              8           3939
236         996046              7           3947
237         996037              9           3954
238         996027             10           3963
239         996018              9           3973
240         996010              8           3982
241         996005              5           3990
242         995999              6           3995
243         995993              6           4001
244         995985              8           4007
245         995975             10           4015
246         995963             12           4025
247         995954              9           4037
248         995944             10           4046
249         995929             15           4056
250         995913             16           4071
251         995896             17           4087
252         995880             16           4104
253         995863             17           4120
254         995844             19           4137
255         995827             17           4156
256         995810             17           4173
257         995792             18           4190
258         995770             22           4208
259         995749             21           4230
260         995731             18           4251
261         995710             21           4269
262         995687             23           4290
263         995666             21           4313
264         995650             16           4334
265         995632             18           4350
266         995616             16           4368
267         995599             17           4384
268         995581             18           4401
269         995561             20           4419
270         995540             21           4439
271         995524             16           4460
272         995504             20           4476
273         995487             17           4496
274         995470             17           4513
275         995452             18           4530
276         995433             19           4548
277         995414             19           4567
278         995398             16           4586
279         995383             15           4602
280         995369             14           4617
281         995357             12           4631
282         995342             15           4643
283         995327             15           4658
284         995315             12           4673
285         995308              7           4685
286         995301              7           4692
287         995293              8           4699
288         995288              5           4707
289         995283              5           4712
290         995280              3           4717
291         995276              4           4720
292         995275              1           4724
293         995273              2           4725
294         995273              0           4727
