#t           SANO     QUEMANDOSE        QUEMADO
0         999999              1              0
1         999997              2              1
2         999994              3              3
3         999992              2              6
4         999990              2              8
5         999987              3             10
6         999982              5             13
7         999979              3             18
8         999977              2             21
9         999973              4             23
10         999971              2             27
11         999969              2             29
12         999967              2             31
13         999963              4             33
14         999960              3             37
15         999958              2             40
16         999954              4             42
17         999949              5             46
18         999946              3             51
19         999941              5             54
20         999936              5             59
21         999932              4             64
22         999926              6             68
23         999919              7             74
24         999909             10             81
25         999899             10             91
26         999887             12            101
27         999870             17            113
28         999857             13            130
29         999843             14            143
30         999823             20            157
31         999805             18            177
32         999792             13            195
33         999777             15            208
34         999761             16            223
35         999744             17            239
36         999729             15            256
37         999717             12            271
38         999708              9            283
39         999701              7            292
40         999690             11            299
41         999679             11            310
42         999665             14            321
43         999649             16            335
44         999631             18            351
45         999613             18            369
46         999600             13            387
47         999587             13            400
48         999574             13            413
49         999561             13            426
50         999547             14            439
51         999533             14            453
52         999520             13            467
53         999503             17            480
54         999483             20            497
55         999466             17            517
56         999447             19            534
57         999430             17            553
58         999414             16            570
59         999394             20            586
60         999375             19            606
61         999354             21            625
62         999326             28            646
63         999302             24            674
64         999279             23            698
65         999257             22            721
66         999228             29            743
67         999203             25            772
68         999185             18            797
69         999164             21            815
70         999143             21            836
71         999116             27            857
72         999090             26            884
73         999069             21            910
74         999050             19            931
75         999030             20            950
76         999006             24            970
77         998978             28            994
78         998948             30           1022
79         998916             32           1052
80         998883             33           1084
81         998854             29           1117
82         998824             30           1146
83         998795             29           1176
84         998762             33           1205
85         998727             35           1238
86         998686             41           1273
87         998643             43           1314
88         998601             42           1357
89         998563             38           1399
90         998521             42           1437
91         998485             36           1479
92         998449             36           1515
93         998418             31           1551
94         998388             30           1582
95         998363             25           1612
96         998341             22           1637
97         998317             24           1659
98         998302             15           1683
99         998286             16           1698
100         998263             23           1714
101         998234             29           1737
102         998205             29           1766
103         998175             30           1795
104         998144             31           1825
105         998118             26           1856
106         998096             22           1882
107         998067             29           1904
108         998041             26           1933
109         998023             18           1959
110         998004             19           1977
111         997980             24           1996
112         997956             24           2020
113         997932             24           2044
114         997912             20           2068
115         997898             14           2088
116         997882             16           2102
117         997869             13           2118
118         997853             16           2131
119         997835             18           2147
120         997821             14           2165
121         997807             14           2179
122         997792             15           2193
123         997777             15           2208
124         997761             16           2223
125         997743             18           2239
126         997712             31           2257
127         997680             32           2288
128         997650             30           2320
129         997621             29           2350
130         997597             24           2379
131         997572             25           2403
