#t           SANO     QUEMANDOSE        QUEMADO
0         999999              1              0
1         999997              2              1
2         999992              5              3
3         999984              8              8
4         999976              8             16
5         999966             10             24
6         999956             10             34
7         999946             10             44
8         999937              9             54
9         999928              9             63
10         999915             13             72
11         999906              9             85
12         999896             10             94
13         999884             12            104
14         999872             12            116
15         999864              8            128
16         999856              8            136
17         999847              9            144
18         999839              8            153
19         999833              6            161
20         999827              6            167
21         999820              7            173
22         999811              9            180
23         999801             10            189
24         999790             11            199
25         999781              9            210
26         999772              9            219
27         999764              8            228
28         999756              8            236
29         999750              6            244
30         999743              7            250
31         999736              7            257
32         999729              7            264
33         999720              9            271
34         999709             11            280
35         999697             12            291
36         999683             14            303
37         999667             16            317
38         999657             10            333
39         999648              9            343
40         999634             14            352
41         999623             11            366
42         999614              9            377
43         999599             15            386
44         999584             15            401
45         999572             12            416
46         999560             12            428
47         999544             16            440
48         999528             16            456
49         999513             15            472
50         999497             16            487
51         999482             15            503
52         999461             21            518
53         999439             22            539
54         999418             21            561
55         999399             19            582
56         999385             14            601
57         999373             12            615
58         999363             10            627
59         999351             12            637
60         999339             12            649
61         999324             15            661
62         999310             14            676
63         999301              9            690
64         999289             12            699
65         999273             16            711
66         999258             15            727
67         999241             17            742
68         999221             20            759
69         999201             20            779
70         999181             20            799
71         999161             20            819
72         999148             13            839
73         999138             10            852
74         999127             11            862
75         999112             15            873
76         999101             11            888
77         999087             14            899
78         999071             16            913
79         999050             21            929
80         999034             16            950
81         999021             13            966
82         999006             15            979
83         998988             18            994
84         998972             16           1012
85         998959             13           1028
86         998947             12           1041
87         998936             11           1053
88         998923             13           1064
89         998908             15           1077
90         998896             12           1092
91         998883             13           1104
92         998870             13           1117
93         998858             12           1130
94         998841             17           1142
95         998824             17           1159
96         998803             21           1176
97         998788             15           1197
98         998776             12           1212
99         998762             14           1224
100         998750             12           1238
101         998737             13           1250
102         998725             12           1263
103         998711             14           1275
104         998696             15           1289
105         998681             15           1304
106         998666             15           1319
107         998644             22           1334
108         998630             14           1356
109         998620             10           1370
110         998610             10           1380
111         998597             13           1390
112         998585             12           1403
113         998570             15           1415
114         998551             19           1430
115         998525             26           1449
116         998507             18           1475
117         998493             14           1493
118         998485              8           1507
119         998470             15           1515
120         998458             12           1530
121         998442             16           1542
122         998425             17           1558
123         998410             15           1575
124         998394             16           1590
125         998381             13           1606
126         998368             13           1619
127         998348             20           1632
128         998329             19           1652
129         998317             12           1671
130         998305             12           1683
131         998292             13           1695
132         998274             18           1708
133         998260             14           1726
134         998250             10           1740
135         998235             15           1750
136         998220             15           1765
137         998208             12           1780
138         998198             10           1792
139         998184             14           1802
140         998170             14           1816
141         998157             13           1830
142         998143             14           1843
143         998124             19           1857
144         998109             15           1876
145         998091             18           1891
146         998069             22           1909
147         998047             22           1931
148         998025             22           1953
149         998006             19           1975
150         997983             23           1994
151         997962             21           2017
152         997938             24           2038
153         997917             21           2062
154         997900             17           2083
155         997880             20           2100
156         997864             16           2120
157         997850             14           2136
158         997833             17           2150
159         997817             16           2167
160         997804             13           2183
161         997792             12           2196
162         997780             12           2208
163         997770             10           2220
164         997756             14           2230
165         997738             18           2244
166         997724             14           2262
167         997707             17           2276
168         997695             12           2293
169         997687              8           2305
170         997679              8           2313
171         997669             10           2321
172         997659             10           2331
173         997647             12           2341
174         997627             20           2353
175         997603             24           2373
176         997581             22           2397
177         997561             20           2419
178         997541             20           2439
179         997523             18           2459
180         997505             18           2477
181         997487             18           2495
182         997470             17           2513
183         997460             10           2530
184         997453              7           2540
185         997448              5           2547
186         997444              4           2552
187         997439              5           2556
188         997434              5           2561
189         997426              8           2566
190         997416             10           2574
191         997404             12           2584
192         997394             10           2596
193         997387              7           2606
194         997380              7           2613
195         997373              7           2620
196         997363             10           2627
197         997353             10           2637
198         997348              5           2647
199         997345              3           2652
200         997343              2           2655
201         997341              2           2657
202         997340              1           2659
203         997340              0           2660
