#t           SANO     QUEMANDOSE        QUEMADO
0         999999              1              0
1         999997              2              1
2         999993              4              3
3         999987              6              7
4         999981              6             13
5         999974              7             19
6         999964             10             26
7         999957              7             36
8         999951              6             43
9         999944              7             49
10         999936              8             56
11         999927              9             64
12         999919              8             73
13         999907             12             81
14         999894             13             93
15         999881             13            106
16         999865             16            119
17         999850             15            135
18         999836             14            150
19         999823             13            164
20         999818              5            177
21         999811              7            182
22         999805              6            189
23         999800              5            195
24         999793              7            200
25         999788              5            207
26         999785              3            212
27         999783              2            215
28         999780              3            217
29         999775              5            220
30         999770              5            225
31         999764              6            230
32         999757              7            236
33         999748              9            243
34         999739              9            252
35         999729             10            261
36         999719             10            271
37         999705             14            281
38         999691             14            295
39         999677             14            309
40         999664             13            323
41         999654             10            336
42         999645              9            346
43         999638              7            355
44         999631              7            362
45         999627              4            369
46         999623              4            373
47         999619              4            377
48         999614              5            381
49         999610              4            386
50         999606              4            390
51         999601              5            394
52         999598              3            399
53         999594              4            402
54         999589              5            406
55         999585              4            411
56         999580              5            415
57         999574              6            420
58         999569              5            426
59         999563              6            431
60         999554              9            437
61         999545              9            446
62         999535             10            455
63         999521             14            465
64         999511             10            479
65         999499             12            489
66         999489             10            501
67         999481              8            511
68         999473              8            519
69         999467              6            527
70         999460              7            533
71         999451              9            540
72         999445              6            549
73         999439              6            555
74         999433              6            561
75         999426              7            567
76         999419              7            574
77         999414              5            581
78         999407              7            586
79         999401              6            593
80         999395              6            599
81         999388              7            605
82         999380              8            612
83         999373              7            620
84         999361             12            627
85         999350             11            639
86         999343              7            650
87         999338              5            657
88         999331              7            662
89         999324              7            669
90         999320              4            676
91         999317              3            680
92         999312              5            683
93         999306              6            688
94         999298              8            694
95         999292              6            702
96         999288              4            708
97         999281              7            712
98         999274              7            719
99         999268              6            726
100         999257             11            732
101         999243             14            743
102         999229             14            757
103         999211             18            771
104         999189             22            789
105         999170             19            811
106         999151             19            830
107         999125             26            849
108         999092             33            875
109         999060             32            908
110         999029             31            940
111         998991             38            971
112         998957             34           1009
113         998920             37           1043
114         998882             38           1080
115         998846             36           1118
116         998810             36           1154
117         998775             35           1190
118         998746             29           1225
119         998719             27           1254
120         998694             25           1281
121         998674             20           1306
122         998651             23           1326
123         998621             30           1349
124         998593             28           1379
125         998563             30           1407
126         998535             28           1437
127         998508             27           1465
128         998474             34           1492
129         998437             37           1526
130         998396             41           1563
131         998356             40           1604
132         998311             45           1644
133         998260             51           1689
134         998210             50           1740
135         998167             43           1790
