#t           SANO     QUEMANDOSE        QUEMADO
0         999999              1              0
1         999996              3              1
2         999994              2              4
3         999992              2              6
4         999989              3              8
5         999986              3             11
6         999985              1             14
7         999984              1             15
8         999984              0             16
